 25.3	  2689	  1600
 26.8	  2524	  1552
 26.5	  2311	  1588
 26.2	  2553	  1569
 26.5	  2380	  1545
 25.5	  2509	  1619
 25.1	  2602	  1578
 25.2	  2768	  1598
 24.7	  2667	  1588
 24.4	  2597	  1600
 25.2	  2559	  1586
 24.0	  2322	  1544
 23.5	  2398	  1635
 24.8	  2377	  1583
 25.6	  2507	  1631
 26.3	  2310	  1668
 26.2	  2166	  1587
 27.2	  2004	  1520
 27.7	  2201	  1523
 28.3	  2028	  1614
 28.4	  2118	  1521
 29.3	  2242	  1445
 29.4	  2155	  1455
 29.1	  2112	  1391
 28.4	  1873	  1476
 28.8	  2089	  1408
 30.1	  2236	  1424
 29.9	  2115	  1474
 29.1	  1897	  1528
 29.6	  2005	  1556
 29.4	  1950	  1619
 28.8	  2107	  1677
 29.9	  2110	  1704
 31.2	  2082	  1616
 32.3	  2148	  1587
 33.8	  2010	  1618
 34.1	  1953	  1546
 32.7	  1914	  1483
 33.4	  1849	  1551
 34.1	  1885	  1487
 35.5	  1767	  1572
 34.6	  1704	  1489
 35.1	  1544	  1398
 35.7	  1468	  1430
 35.4	  1532	  1335
 36.6	  1682	  1384
 37.5	  1624	  1407
 37.8	  1639	  1362
 37.0	  1615	  1308
 37.9	  1858	  1214
 38.0	  1651	  1274
 39.5	  1435	  1362
 38.1	  1527	  1419
 38.2	  1719	  1499
 38.5	  1538	  1442
 37.6	  1309	  1364
 37.9	  1529	  1334
 37.7	  1771	  1424
 38.2	  2015	  1477
 37.7	  2096	  1426
 37.1	  2187	  1431
 36.8	  2238	  1481
 37.1	  2264	  1498
 37.1	  2055	  1542
 38.6	  1982	  1636
 38.1	  2176	  1627
 37.9	  2034	  1552
 37.3	  2148	  1609
 37.9	  1902	  1678
 39.2	  2038	  1586
 38.8	  2140	  1632
 38.0	  2025	  1667
 37.9	  2086	  1614
 36.9	  2251	  1667
 38.2	  2055	  1604
 37.0	  2050	  1542
 38.2	  1850	  1451
 38.4	  1986	  1414
 37.4	  1905	  1356
 37.5	  2109	  1381
 36.3	  2054	  1292
 36.3	  2020	  1392
 37.2	  2013	  1471
 36.1	  1958	  1556
 37.4	  2064	  1580
 36.9	  2282	  1505
 37.6	  2356	  1571
 37.3	  2481	  1639
 36.7	  2507	  1734
 36.9	  2422	  1758
 36.5	  2550	  1741
 36.5	  2648	  1836
 35.9	  2817	  1883
 37.3	  2582	  1855
 37.8	  2473	  1801
 38.4	  2535	  1819
 38.9	  2309	  1789
 38.8	  2180	  1832
 39.8	  2070	  1878
 38.7	  2239	  1806
